3

20

0 100 1122.54 13.6291 0 0 0 0
5 100 1127.12 10.5469 0 0 0 0
10 100 1131.77 8.12471 0 0 0 0
15 100 1136.49 6.2027 0 0 0 0
20 100 1141.27 4.66525 0 0 0 0
25 100 1146.12 3.42783 0 0 0 0
30 100 1151.04 2.42781 0 0 0 0
35 100 1156.03 1.61809 0 0 0 0
40 100 1161.08 0.962766 0 0 0 0
45 100 1166.19 0.434051 0 0 0 0
50 100 1171.37 0.0101859 0 0 0 0
55 100 1176.61 -0.326086 0 0 0 0
60 100 1181.91 -0.588604 0 0 0 0
65 100 1187.27 -0.788582 0 0 0 0
70 100 1192.69 -0.935192 0 0 0 0
75 100 1198.17 -1.03601 0 0 0 0
80 100 1203.7 -1.09732 0 0 0 0
85 100 1209.3 -1.1244 0 0 0 0
90 100 1214.95 -1.12172 0 0 0 0
95 100 1220.66 -1.09305 0 0 0 0

20

0 101 0 0 0 0 0 0
5 101 0 0 0 0 0 0
10 101 0 0 0 0 0 0
15 101 0 0 0 0 0 0
20 101 0 0 0 0 0 0
25 101 0 0 0 0 0 0
30 101 0 0 0 0 0 0
35 101 0 0 0 0 0 0
40 101 0 0 0 0 0 0
45 101 0 0 0 0 0 0
50 101 0 0 0 0 0 0
55 101 0 0 0 0 0 0
60 101 0 0 0 0 0 0
65 101 0 0 0 0 0 0
70 101 0 0 0 0 0 0
75 101 0 0 0 0 0 0
80 101 0 0 0 0 0 0
85 101 0 0 0 0 0 0
90 101 0 0 0 0 0 0
95 101 0 0 0 0 0 0

20

0 102 0 0 0 0 0 0
5 102 0 0 0 0 0 0
10 102 0 0 0 0 0 0
15 102 0 0 0 0 0 0
20 102 0 0 0 0 0 0
25 102 0 0 0 0 0 0
30 102 0 0 0 0 0 0
35 102 0 0 0 0 0 0
40 102 0 0 0 0 0 0
45 102 0 0 0 0 0 0
50 102 0 0 0 0 0 0
55 102 0 0 0 0 0 0
60 102 0 0 0 0 0 0
65 102 0 0 0 0 0 0
70 102 0 0 0 0 0 0
75 102 0 0 0 0 0 0
80 102 0 0 0 0 0 0
85 102 0 0 0 0 0 0
90 102 0 0 0 0 0 0
95 102 0 0 0 0 0 0

